"Town","FIPS","Year","Grade","MeasureType","Variable","Value"
"Deep River","0900719130",2009,"1","Percent","Students absent 20 or more days",4.1
"Derby","0900919550",2009,"1","Percent","Students absent 20 or more days",11.9
"Durham","0900720810",2009,"1","Percent","Students absent 20 or more days",1.3
"East Granby","0900322070",2009,"1","Percent","Students absent 20 or more days",3
"East Haddam","0900722280",2009,"1","Percent","Students absent 20 or more days",4.5
"East Hampton","0900722490",2009,"1","Percent","Students absent 20 or more days",2.5
"East Hartford","0900322630",2009,"1","Percent","Students absent 20 or more days",13.4
"East Haven","0900922910",2009,"1","Percent","Students absent 20 or more days",6.7
"East Lyme","0901123400",2009,"1","Percent","Students absent 20 or more days",2.5
"East Windsor","0900324800",2009,"1","Percent","Students absent 20 or more days",2.8
"Eastford","0901521860",2009,"1","Percent","Students absent 20 or more days",9.1
"Easton","0900123890",2009,"1","Percent","Students absent 20 or more days",1.6
"Ellington","0901325360",2009,"1","Percent","Students absent 20 or more days",3
"Enfield","0900325990",2009,"1","Percent","Students absent 20 or more days",5
"Essex","0900726270",2009,"1","Percent","Students absent 20 or more days",2.5
"Fairfield","0900126620",2009,"1","Percent","Students absent 20 or more days",2.8
"Farmington","0900327600",2009,"1","Percent","Students absent 20 or more days",1.9
"Franklin","0901129910",2009,"1","Percent","Students absent 20 or more days",0
"Glastonbury","0900331240",2009,"1","Percent","Students absent 20 or more days",1.3
"Granby","0900332640",2009,"1","Percent","Students absent 20 or more days",1.9
"Greenwich","0900133620",2009,"1","Percent","Students absent 20 or more days",4.6
"Griswold","0901133900",2009,"1","Percent","Students absent 20 or more days",6.4
"Groton","0901134250",2009,"1","Percent","Students absent 20 or more days",4.2
"Guilford","0900934950",2009,"1","Percent","Students absent 20 or more days",3.1
"Haddam","0900735230",2009,"1","Percent","Students absent 20 or more days",3
"Hamden","0900935650",2009,"1","Percent","Students absent 20 or more days",2.6
"Hampton","0901536000",2009,"1","Percent","Students absent 20 or more days",5.3
